Organización Política,Estado Org. Política,Tipo partido,Alcance,Fecha de inscripción,Fecha de cancelación
PARTIDO PAIS PARA TODOS,INSCRITO,PARTIDO POLÍTICO,NACIONAL,02/08/2024,
PARTIDO DEL BUEN GOBIERNO,INSCRITO,PARTIDO POLÍTICO,NACIONAL,02/08/2024,
PARTIDO UNIDAD Y PAZ,INSCRITO,PARTIDO POLÍTICO,NACIONAL,02/10/2024,
NUEVO PERU POR EL BUEN VIVIR,INSCRITO,PARTIDO POLÍTICO,NACIONAL,03/07/2024,
PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERU,INSCRITO,PARTIDO POLÍTICO,NACIONAL,05/04/2024,
PARTIDO POLITICO FUERZA MODERNA,INSCRITO,PARTIDO POLÍTICO,NACIONAL,07/08/2024,
LIBERTAD POPULAR,INSCRITO,PARTIDO POLÍTICO,NACIONAL,08/06/2023,
PARTIDO POLITICO INTEGRIDAD DEMOCRATICA,INSCRITO,PARTIDO POLÍTICO,NACIONAL,11/04/2025,
UN CAMINO DIFERENTE,INSCRITO,PARTIDO POLÍTICO,NACIONAL,11/04/2025,
PARTIDO DEMOCRATA VERDE,INSCRITO,PARTIDO POLÍTICO,NACIONAL,14/02/2023,
PARTIDO CIVICO OBRAS,INSCRITO,PARTIDO POLÍTICO,NACIONAL,15/07/2024,
PARTIDO CIUDADANOS POR EL PERU,INSCRITO,PARTIDO POLÍTICO,NACIONAL,17/01/2025,
PARTIDO SICREO,INSCRITO,PARTIDO POLÍTICO,NACIONAL,18/03/2024,
PARTIDO POLITICO TODO CON EL PUEBLO,INSCRITO,PARTIDO POLÍTICO,NACIONAL,18/08/2025,
PARTIDO POLITICO PRIN,INSCRITO,PARTIDO POLÍTICO,NACIONAL,19/01/2023,
PARTIDO POLITICO PERU PRIMERO,INSCRITO,PARTIDO POLÍTICO,NACIONAL,19/06/2023,
PARTIDO POLITICO PERUANOS UNIDOS : ¡SOMOS LIBRES!,INSCRITO,PARTIDO POLÍTICO,NACIONAL,20/11/2024,
COALICION TRANSFORMADORA TIERRA VERDE,INSCRITO,PARTIDO POLÍTICO,NACIONAL,20/11/2025,
PARTIDO DEMOCRATICO FEDERAL,INSCRITO,PARTIDO POLÍTICO,NACIONAL,21/01/2025,
UP UNIDAD POPULAR,INSCRITO,PARTIDO POLÍTICO,NACIONAL,23/06/2025,
